tag_id,tag_name
0,-
1,--1-
2,--10-
3,--12-
4,--122-
5,--166-
6,--17-
7,--19-
8,--2-
9,--258-
10,--3-
11,--33-
12,--4-
13,--5-
14,--51-
15,--6-
16,--62-
17,--8-
18,--99-
19,--available-at-raspberrys--
20,-2001--
21,-calif--
22,-d-c--
23,-dean
24,-england-
25,-fiction
26,-fictional
27,-fictitious
28,-football-
29,-george
30,-gr-
31,-history
32,-imaginary
33,-italy-
34,-la--
35,-los
36,-mass--
37,-murder-
38,-n-y--
39,-non-poetry-
40,-performing
41,-post
42,-psychology-
43,-read
44,-single
45,-specific
46,-television
47,0
48,0-0-0-0cant-find
49,0-0-bingo
50,0-4-star-rating
51,0-a-find-2016-summer-00
52,0-all2
53,0-best-picture-younger
54,0-boxed
55,0-c
56,0-eric-s-books
57,0-house-lbkc
58,0-kindle
59,0-love-funny
60,0-made-me-cry-moved-me
61,0-nonfiction
62,0-owned
63,0-paperback
64,0-pgs-200-to-299
65,0-physical-own
66,0-plays
67,0-plc
68,0-tbr-axz-usa
69,00-exploring-1
70,00-graphic-novels-read
71,00-in-class
72,00-to-read-00
73,00-to-read-02
74,0000
75,0000-to-buy
76,00000
77,0000_notverified
78,000src-su-25-11-3-x
79,000src-w-15-01-i-me-mine
80,001-150-pages
81,001-ebook
82,002-read-cookbook
83,002-une-bonne-selection
84,007
85,008-strategy
86,01
87,01-alphabet-authors
88,01-distopias
89,01-ecookbooks
90,01-folklore
91,01-irl-bookshelf-comics
92,01-mine
93,01-words
94,016-sam-j-miller
95,01_best-books
96,02-500-750
97,02-black-exp
98,02-fantasy
99,02-folklore
100,02-to-read-speculative-fiction
101,02-words-sb
102,0201-0300-pages
103,029-نجيب-محفوظ
104,03-20thcentury-american-lit
105,03-classic-fairy
106,03-classic-fairy-tales
107,03-informational
108,03-sami-lukematta
109,03-star
110,03-words-sc
111,04-babies-and-toddlers
112,04-caldecott
113,04-easy-to-read-books
114,04-preschoolers
115,04-realistic-fiction
116,04-star
117,04-stars
118,0471239720
119,05-high-fantasy
120,05ip9hg
121,06-not-my-kind-of-book
122,06-traditional
123,07-hist-fiction
124,07-modern-fantasy
125,07-まんが-ほか
126,08-childhood-ya
127,08-realistic-fiction
128,08-words-ns
129,0fiction-incomplete-series
130,0nonfiction
131,0want-it
132,0wn
133,0wned
134,1
135,1-0-1-9
136,1-000-books-before-kindergarten
137,1-1
138,1-10
139,1-12
140,1-2
141,1-4
142,1-5-stars-all-genres
143,1-ab-a-a-bookcount-5
144,1-and-2-stars
145,1-art-modern
146,1-at-school
147,1-ax-a-a-bookscouter-1
148,1-b
149,1-books-i-own
150,1-bx-libraries
151,1-children-ya
152,1-chronicles
153,1-classic-literature
154,1-favorites
155,1-fiction
156,1-gen-lit
157,1-have
158,1-in-3
159,1-in-series
160,1-jordan-peterson
161,1-kindle
162,1-ladies-detective-agency
163,1-ladys-detective-agency
164,1-lifestyle
165,1-manga-manhwa-manhua-series-done
166,1-my-ex-collection
167,1-my-extra-longlist
168,1-novellas-short-stories-essays
169,1-of-best-books-ever
170,1-of-trilogy
171,1-own
172,1-owned
173,1-owned-books
174,1-owning
175,1-read-bookshelf
176,1-read-duplicate
177,1-star
178,1-stars
179,1-stephen-king
180,1-the-best-to-read
181,1-to-buy
182,1-to-read-crime
183,1-to-sort
184,1-year-52-plays
185,1-year-challenge
186,10
187,10-aussie-books-to-read-before-you
188,10-next
189,10-words-ns
190,100
191,100-best-books
192,100-best-books-of-all-time
193,100-best-books-of-all-time-the-worl
194,100-best-business-books
195,100-best-novels
196,100-best-novels-list
197,100-best-novels-modern-library
198,100-book-challenge
199,100-books
200,100-books-bbc
201,100-books-every-man-should-read
202,100-books-i-own-for-2017
203,100-books-that-define-the-00-s
204,100-books-to-read
205,100-books-to-read-before-you-die
206,100-books-to-read-in-a-lifetime
207,100-books-to-read-my-version
208,100-bullets
209,100-children-s-books
210,100-essential-novels
211,100-essential-novels-poster
212,100-fiction
213,100-greatest
214,100-greatest-books-ever-written
215,100-greatest-novels
216,100-in-100-list
217,100-modern-library
218,100-must-read-books
219,100-must-read-books-the-essential
220,100-novels-everyone-should-read
221,100-recommended
222,100-year-war
223,100-years-war
224,1000
225,1000-book-before-kindergarten
226,1000-book-goal
227,1000-books
228,1000-books-before-kindergarten
229,1000-books-to-read-before-you-die
230,1000-by-k
231,1000-good-books-1-3
232,1000-harry
233,1000-novels
234,1000-plus-pages
235,1000s-1300s
236,1001
237,1001-before-you-die
238,1001-book
239,1001-book-list
240,1001-books
241,1001-books-2006
242,1001-books-before-die
